Run,Event,pt1,eta1,phi1,Q1,pt2,eta2,phi2,Q2,M
173198,1058913451,31.8527,0.911549,-0.267572,-1,26.1367,2.43314,-1.63243,1,60.4473
173198,1058798634,4.90609,-1.29711,-0.142619,1,76.2748,2.31546,-1.60891,-1,117.477
173198,1058199623,16.3441,0.0392648,-1.86947,1,29.1561,-2.29858,1.85523,-1,76.0124
173198,1058421698,8.63004,0.67872,2.53803,-1,51.2562,-1.99995,-0.523163,1,85.7626
173198,1058886858,47.4692,0.836133,-1.62981,-1,12.3558,-1.22006,1.48215,1,76.3671
173198,1059244111,17.7749,1.81688,1.3382,1,26.487,-1.39444,-1.50469,-1,112.251
173198,1059550271,58.2677,1.40516,-1.94454,1,9.63469,-0.249061,0.990842,-1,64.3573
173198,1060336071,17.5866,-0.0950005,2.23198,1,35.5805,2.27068,-0.606004,-1,88.9828
173198,1059277662,18.7954,-0.163071,2.00292,1,19.3333,-2.27736,-0.834669,-1,61.2161
173198,1059430222,43.7942,-1.79038,1.73117,1,41.8481,-1.46961,-1.33147,-1,86.6578
173198,1060317734,16.1317,1.20566,1.89334,1,32.7534,-0.618289,-1.35358,-1,66.4083
173198,1059822470,34.3619,-0.417911,0.21428,-1,24.6718,1.54082,-2.28703,1,86.5462
173198,1058973860,58.3142,-0.787857,-1.87538,1,35.9483,-1.0203,1.16379,-1,92.0705
173198,1058932295,49.4153,-0.726486,-2.11592,1,17.8161,0.297105,0.323588,-1,64.1166
173198,1059516954,50.4407,2.26066,-3.13574,1,43.7905,1.2054,-1.2857,-1,91.2789
173198,1060293194,14.9971,0.636275,1.71546,-1,25.9215,-2.35278,-0.0221877,1,88.7238
173198,1059320832,25.5731,0.561914,1.85643,-1,16.1287,-2.17763,-0.0791323,1,81.8889
173198,1059573872,24.2127,0.676857,-1.39415,1,18.2634,-1.26867,1.39288,-1,63.1414
173198,1060174368,12.7251,0.137975,1.87176,-1,24.3033,-2.30285,-1.77123,1,64.1904
173198,1059625825,9.31306,1.88783,1.404,-1,44.7172,-0.642433,-2.37602,1,77.0154
173198,1060311409,48.8087,1.01796,0.279131,1,43.6356,1.37306,-2.78565,-1,93.6911
173198,1060260225,10.2513,-1.26645,1.52973,1,29.4065,2.43916,-1.95454,-1,113.301
173198,1059538042,35.1081,0.905323,0.832169,-1,11.7099,-1.79801,0.46634,1,73.467
173198,1059921290,19.1424,2.10386,1.22656,-1,26.7616,-0.406087,-2.48532,1,84.8956
173198,1059273459,38.9352,-0.28516,0.298123,-1,22.5121,1.43652,-2.75991,1,82.5031
173198,1060310747,21.1849,1.36864,-0.58434,1,29.9843,-0.832323,2.42336,-1,84.0697
173198,1060341675,19.6644,1.32082,2.59782,1,46.5122,2.0616,-0.73037,-1,64.4367
173198,1059441525,32.9034,1.25297,-3.0859,-1,48.6847,2.43071,-0.713319,1,89.4258
173198,1059824037,56.8647,-2.4601,-0.367685,1,36.9384,-1.85576,2.33096,-1,93.7406
173198,1059224467,55.7918,-0.914866,-1.25715,1,47.1544,-0.624251,1.91458,-1,103.657
173198,1059708099,53.7606,-2.02128,0.808354,-1,31.8834,-2.01547,-1.99215,1,81.6018
173198,1059973227,28.8091,-0.640556,-1.53415,1,37.1295,-1.56106,1.73266,-1,72.3471
173198,1060055923,16.9974,1.43041,0.6327,1,21.3129,-1.22065,-2.76821,-1,76.5428
173198,1059532021,42.1423,0.542707,0.818295,1,43.5494,1.14928,-2.55684,-1,89.0934
173198,1060026645,42.6601,-1.58407,2.99809,-1,53.6777,-2.49856,-0.185255,1,105.867
173389,160383688,49.1175,0.960855,-1.02641,1,46.0284,2.40869,-2.44915,-1,97.3738
173389,160797753,33.6331,1.62767,-0.0266846,1,39.8751,0.286861,3.08805,-1,90.3221
173389,160883625,22.9035,-0.367853,-0.32064,1,27.2113,1.98409,2.77527,-1,88.6125
173389,160775906,30.6888,0.77948,0.881091,1,22.1994,-2.16497,-2.32777,-1,119.748
173389,160981825,43.4339,0.14365,-1.65633,-1,40.9033,0.735148,1.43624,1,87.9887
173389,159907680,18.986,0.6787,2.37852,1,38.9015,-1.79557,-0.956103,-1,101.396
173389,160101616,32.7963,-0.191348,-1.14393,1,28.2294,-2.12152,2.32496,-1,90.9244
173389,160205145,45.2038,2.55522,-3.10457,-1,44.9033,2.15871,0.0271424,1,91.8822
173389,160560157,53.6853,0.181913,3.01423,1,18.0933,1.88004,-0.511805,-1,85.3571
173389,160095281,51.6184,1.64395,2.61324,1,10.5666,-0.37315,-0.75488,-1,72.3553
173389,160191137,45.7343,0.611173,0.728067,-1,35.0748,-1.10285,-2.27825,1,111.233
173389,160325516,13.204,0.35122,-2.90899,-1,65.0079,1.19784,0.519411,1,63.3737
173389,159852458,21.8911,1.29828,-0.345069,-1,21.5516,-2.0457,-3.06316,1,119.345
173389,160241480,15.9699,-0.451316,0.341895,1,66.4595,1.97311,-2.31758,-1,118.167
173389,160875600,31.2241,-0.796023,-0.333675,1,36.65,-1.49212,3.02013,-1,71.4377
173389,160992538,5.32356,-0.895094,-2.18238,1,44.4696,2.0424,-0.0221756,-1,68.8666
173389,160662437,34.9808,0.985673,-1.68739,-1,33.1974,-0.70454,1.45849,1,93.9766
173389,160874584,28.4197,-1.10173,1.80899,-1,38.4393,0.311114,-1.81308,1,81.7968
173389,159935362,38.6882,0.653249,-2.57887,1,38.7268,1.8041,0.632476,-1,90.5491
173389,160647411,53.1956,1.89157,1.13299,1,38.783,2.36852,-2.57015,-1,89.9831
173389,161068945,41.196,1.5991,1.47341,1,35.0523,-0.238682,-1.63847,-1,110.403
173389,159985729,33.2522,0.032155,-0.103987,1,61.3912,-0.603236,2.69588,-1,93.711
173389,160685339,54.5795,-1.72477,0.212752,1,42.748,-1.67026,-2.93475,-1,96.6412
173389,160879103,14.6494,0.139048,-2.32347,1,40.0518,2.29069,1.02768,-1,79.1289
173389,161041467,46.8927,0.870095,1.6677,1,23.5655,-0.73133,-1.80241,-1,88.294
173389,160026658,46.218,-0.303052,-1.42641,1,39.7075,0.225724,1.69478,-1,88.6862
173389,159941817,46.7554,-1.30326,-0.263354,1,48.6848,-0.768066,2.88633,-1,98.8568
173389,161274060,30.2339,0.65267,-2.82409,-1,35.8751,2.35104,0.746775,1,89.9918
173389,162039188,40.6249,-1.87281,1.10577,-1,41.2143,-1.86913,-1.98603,1,81.8118
173389,162007487,42.2312,1.17503,-1.75687,-1,40.8645,1.63785,1.53843,1,85.0802
173389,161409496,14.7758,-0.537587,-2.19741,1,74.3511,-2.57881,1.26978,-1,103.362
173389,161958192,46.2937,-0.442901,-0.313961,-1,45.5772,-0.328029,2.84218,1,92.0173
173389,162170402,43.3088,-1.60359,-1.93056,-1,50.3232,-1.62846,1.47774,1,92.5472
173389,161519407,48.2677,1.25791,2.63357,1,22.2973,1.14935,-0.340384,-1,65.4788
173389,161883029,57.1534,2.00752,-0.787364,-1,17.6919,1.10609,2.67938,1,69.4078
173389,162458174,42.6069,0.212813,-1.76154,-1,25.489,2.27191,1.48316,1,103.981
173389,162168888,41.2807,-0.900589,0.483294,1,43.6477,-1.61082,-2.53729,-1,90.1589
173389,161951309,22.2024,-0.191071,-2.88885,-1,21.1335,1.99351,0.995004,1,70.1018
173389,161926263,11.0067,0.0960706,-3.07207,1,69.1332,1.63739,0.504286,-1,71.3956
173389,161517344,55.6769,0.710065,0.470709,-1,32.3209,1.30088,-2.94794,1,87.7922
173389,162107340,76.7324,1.15342,-2.17625,1,24.9957,0.338514,1.40529,-1,93.0183
173389,162386710,36.0191,-0.706368,-0.6707,1,53.7725,-1.18288,2.45565,-1,90.5266
173389,161417153,11.4365,0.842108,-2.42888,1,40.8472,-2.25235,1.77749,-1,103.858
173389,161581568,29.5339,-1.15513,-2.95886,-1,51.8461,-0.17403,0.51959,1,86.8834
173389,161820283,43.6095,1.41216,-2.74618,-1,59.3955,1.4311,1.40171,1,89.1787
173389,162068985,23.2097,0.903548,-2.33954,1,64.7613,-0.994191,-1.63015,-1,89.2814
173389,161335868,30.8427,0.46314,2.06914,-1,34.6714,2.28363,-0.120886,1,89.5414
173389,162391219,85.8298,0.104861,-0.505393,1,95.2393,-0.691265,-1.09589,-1,90.7136
173389,161439210,50.0103,0.107477,-0.73521,1,22.8212,1.78089,2.18599,-1,92.3308
173389,162254286,35.4247,-1.4007,-2.57789,1,45.7377,-2.39218,0.495585,-1,90.5596
173389,506678703,38.8829,-0.530572,-0.318871,-1,37.2636,-0.372405,2.93657,1,76.2445
173389,506700996,33.1199,-1.5943,0.316909,1,63.258,-1.26216,-2.44165,-1,91.1592
173389,507099165,86.6333,2.31027,2.37211,-1,13.7296,1.9328,-0.884276,1,70.0971
173389,506593648,37.7609,-0.219905,1.36352,1,42.3255,0.68205,-0.992615,-1,82.7491
173389,507011564,43.0677,1.3461,-3.01891,1,14.4395,-0.53423,0.469847,-1,73.0838
173389,507173707,38.7986,-1.22161,1.37927,1,43.2828,-2.3751,-1.88824,-1,95.8335
173389,507295212,44.0294,2.09738,-0.952813,1,36.6987,1.68833,2.2584,-1,82.0342
173389,506459488,38.2632,-2.51451,3.09334,1,39.1408,-1.45236,-0.228997,-1,88.297
173389,506846946,42.9825,-0.536885,-0.65835,-1,46.4692,-1.08293,2.2555,1,92.178
173389,506091388,45.844,1.05076,0.127525,1,28.3381,1.39038,-2.97718,-1,73.1167
173389,506149398,46.8855,1.55827,0.389955,1,55.7992,1.92251,-2.52465,-1,103.351
173389,506712065,48.8583,1.59524,1.73558,1,41.7595,2.09821,-1.23267,-1,92.8825
173389,507070786,19.6675,0.534137,-3.03226,1,50.8729,2.12683,0.294761,-1,84.2016
173389,506370474,45.4803,-1.08818,-2.24663,-1,42.2431,-0.79033,0.900279,1,88.6373
173389,506701636,37.1399,-1.11459,-1.93885,-1,25.2573,0.957853,1.62288,1,96.349
